Nome,Latitude,Longitude,Altitude
Santa Vitória do Palmar (Barra do Chuí)-A899,-33.742297,-53.372218,7 
Santiago-A833,-29.191599,-54.885653,390 
Santo Augusto-A805,-27.854345,-53.791179,490 
São Borja-A830,-28.650092,-56.016291,81 
São Gabriel-A832,-30.341438,-54.310909,115 
São José dos Ausentes-A829,-28.748615,-50.057869,1.229 
São Luiz Gonzaga-A852,-28.417113,-54.962403,246 
São Vicente do Sul-A889,-29.702111,-54.694319,134 
Serafina Corrêa-A894,-28.704806,-51.870751,545 
Soledade-A837,-28.859211,-52.542387,660 
Teutônia-A882,-29.450334,-51.824283,80 
Torres-A808,-29.350359,-49.733263,8 
Tramandaí-A834,-30.010268,-50.135887,5 
Tupanciretã-A886,-29.0893814,-53.82665025,462 
Uruguaiana-A809,-29.839870,-57.081899,74 
Vacaria-A880,-28.513602,-50.882738,970 
Araranguá-A867,-28.931353,-49.497920,2 
Caçador-A859,-26.819156,-50.985520,944 
Curitibanos-A860,-27.288624,-50.604283,978 
Dionísio Cerqueira-A848,-26.286562,-53.633114,808 
Florianópolis-São José-A806,-27.602530,-48.620096,5 
Indaial-A817,-26.913704,-49.267978,72 
Itajaí-A868,-26.950924,-48.762031,10 
Itapoá-A851,-26.081303,-48.641774,6 
Ituporanga-A863,-27.418410,-49.646874,480 
Joaçaba-A841,-27.169268,-51.558963,768 
Lages-A865,-27.802228,-50.335457,953 
Laguna (Farol Santa Marta)-A866,-28.604414,-48.813313,34 
Major Vieira-A864,-26.393664,-50.363211,800 
Morro da Igreja (Bom Jardim da Serra)-A845,-28.126992,-49.479610,1.790 
Novo Horizonte-A816,-26.406499,-52.850366,944 
Rancho Queimado-A870,-27.678507,-49.042027,881 
Rio do Campo-A861,-26.937526,-50.145445,592 
Rio Negrinho-A862,-26.248411,-49.580624,857 
São Joaquim-A815,-28.275640,-49.934617,1.400 
São Miguel do Oeste-A857,-26.776699,-53.504541,655 
Urussanga-A814,-28.532557,-49.315205,41 
Xanxerê-A858,-26.938666,-52.398090,879 
Aracaju-A409,-10.952413,-37.054330,4 
Brejo Grande-A421,-10.473959,-36.482051,6 
Carira-A420,-10.399719,-37.747503,290 
ITABAIANA-A451,-10.671751,-37.471501,0 
Itabaianinha-A417,-11.2725,-37.795,205 
Nossa Senhora da Glória-A453,-10.207778,-37.431889,271 
Poço Verde-A419,-10.738020,-38.108389,367 
Ariranha-A736,-21.132937,-48.840426,525 
Avaré-A725,-23.101749,-48.940997,776 
Barra Bonita-A741,-22.471205,-48.557573,534 
Barra do Turvo-A746,-24.962819,-48.416379,660 
Barretos-A748,-20.559175,-48.544997,534 
Baruerí-A755,-23.52389,-46.86945,777 
Bauru-A705,-22.358052,-49.028877,636 
Bebedouro-A764,-20.949197,-48.489944,790 
Bertioga-A765,-23.844678,-46.143376,5 
Cachoeira Paulista-A769,-22.689001,-45.005444,586 
Campos do Jordão-A706,-22.750231,-45.603836,1.663 
Casa Branca-A738,-21.78056,-47.07528,734 
Dracena-A762,-21.457699,-51.552254,720 
Franca-A708,-20.584475,-47.382549,1.003 
Ibitinga-A737,-21.855567,-48.799717,497 
Iguape-A712,-24.671654,-47.545896,3 
Itapeva-A714,-23.981918,-48.885818,743 
Itapira-A739,-22.415062,-46.805292,635 
Ituverava-A753,-20.35976,-47.77522,611 
Jales-A733,-20.165025,-50.595134,460 
José Bonifácio-A735,-21.085675,-49.920388,408 
Lins-A727,-21.666045,-49.734854,461 
Marília-A763,-22.235222,-49.965111,660 
Ourinhos-A716,-22.949000,-49.894546,443 
Piracicaba-A726,-22.703132,-47.623317,566 
Pradópolis-A747,-21.338432,-48.114007,540 
Presidente Prudente-A707,-22.119867,-51.408637,432 
Rancharia-A718,-22.372832,-50.974710,399 
Registro-A766,-24.533139,-47.864139,35 
São Carlos-A711,-21.980353,-47.883927,859 
São Luis do Paraitinga-A740,-23.228362,-45.417055,862 
São Miguel Arcanjo-A715,-23.852022,-48.164817,676 
São Paulo (Mirante de Santana)-A701,-23.496294,-46.620088,786 
São Sebastião-A767,-23.810722,-45.402528,24 
Sorocaba-A713,-23.426035,-47.585552,609 
Taubaté-A728,-23.041668,-45.520841,582 
Tupã-A768,-21.927251,-50.490251,498 
Valparaiso-A734,-21.319138,-50.930158,382 
Votuporanga-A729,-20.403221,-49.966031,510 
Almas-A053,-11.284098,-47.212125,503 
Araguaçu-A054,-12.592213,-49.528738,231 
Araguaina-A021,-7.103954,-48.201231,231 
Araguatins-A044,-5.643725,-48.111839,131 
Campos Lindos-A043,-8.154665,-46.639323,427 
Colinas do Tocantins-A049,-8.092708,-48.478605,200 
Dianópolis-A038,-11.594448,-46.847209,728 
Formoso do Araguaia-A039,-11.887377,-49.608215,215 
Gurupi-A019,-11.745782,-49.049703,279 
Lagoa da Confusão-A055,-10.828286,-49.847882,178 
Marianópolis do Tocantins-A041,-9.576389,-49.72333,187 
Mateiros-A040,-10.434441,-45.921941,791 
Palmas-A009,-10.190744,-48.301811,292 
